MOStest
Date/Time: 9/1/2017 10:31:36 AM
Sensor Name: MOSandDiode_14
Type: MOS
Annealing Status: 
Environment: RT
Tester: Eric Spencer

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.050

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Current_Avg	Current_0	Current_1	Current_2	Current_3	LCR_Cp_freq1	LCR_Cp_freq2	LCR_Rp_freq1	LCR_Rp_freq2	Temperature	Air_Temp	Humidity	Dewpoint	
    0.0000	8.0085E-11	-1.4412E-10	4.7806E-10	7.7000E-12	-2.1300E-11	7.766E-10	7.754E-10	1.289E+7	7.414E+5	   18.6362	   18.6108	   10.5022	  -12.9839	
    2.0000	 6.5256E-9	 6.8323E-9	 6.4861E-9	 6.7030E-9	 6.0810E-9	5.005E-10	2.521E-10	2.164E+6	1.097E+6	   18.6380	   18.6137	   10.7935	  -12.6447	
    4.0000	 2.5588E-8	 2.7405E-8	 2.5563E-8	 2.5415E-8	 2.3971E-8	7.720E-10	7.523E-10	3.656E+6	1.158E+6	   18.6362	   18.6017	   10.8982	  -12.5348	
    6.0000	 6.6482E-8	 7.5090E-8	 6.8960E-8	 6.4260E-8	 5.7620E-8	7.909E-10	7.904E-10	6.079E+7	1.054E+6	   18.6357	   18.6054	   10.0674	  -13.5070	
    8.0000	 1.2408E-7	 1.4812E-7	 1.3070E-7	 1.1792E-7	 9.9570E-8	8.008E-10	7.837E-10	1.619E+7	2.523E+6	   18.6357	   18.6035	    8.8412	  -15.0873	
   10.0000	 1.6659E-7	 2.0226E-7	 1.7476E-7	 1.5283E-7	 1.3650E-7	7.998E-10	7.883E-10	5.946E+7	1.341E+7	   18.6351	   18.5997	    7.9089	  -16.4273	
    9.0000	 3.7452E-8	 3.9287E-8	 3.8197E-8	 3.7075E-8	 3.5248E-8	7.987E-10	8.126E-10	6.106E+7	5.843E+5	   18.6336	   18.6055	    6.8583	  -18.1101	
    8.0000	 1.5536E-8	 1.5296E-8	 1.4404E-8	 1.4444E-8	 1.8000E-8	7.973E-10	7.852E-10	6.092E+7	7.225E+5	   18.6304	   18.5810	    6.0974	  -19.5008	
    7.0000	 5.0450E-9	 4.7040E-9	 4.4300E-9	 5.6960E-9	 5.3500E-9	7.950E-10	8.117E-10	5.968E+7	1.892E+6	   18.6263	   18.5850	    5.4766	  -20.7365	
    6.0000	 1.5190E-9	 1.6610E-9	 1.4725E-9	 1.4621E-9	 1.4802E-9	7.910E-10	7.909E-10	6.256E+7	1.063E+6	   18.6287	   18.5755	    4.7498	  -22.3641	
    5.0000	-1.9123E-9	-1.0000E-9	-2.3043E-9	-2.1968E-9	-2.1483E-9	7.826E-10	7.710E-10	6.171E+7	9.643E+5	   18.6280	   18.5787	    4.2631	  -23.5765	
    4.7500	-4.0705E-9	-4.1455E-9	-4.1934E-9	-4.0934E-9	-3.8498E-9	7.788E-10	7.804E-10	6.271E+7	1.163E+6	   18.6281	   18.5736	    4.0772	  -24.0772	
    4.5000	-5.9617E-9	-6.1110E-9	-5.9960E-9	-6.1820E-9	-5.5580E-9	7.734E-10	7.700E-10	6.337E+7	9.734E+5	   18.6274	   18.5773	    3.8381	  -24.7446	
    4.2500	-7.7400E-9	-8.3500E-9	-7.5250E-9	-7.6450E-9	-7.4400E-9	7.655E-10	7.651E-10	6.316E+7	1.120E+6	   18.6235	   18.5680	    3.6471	  -25.3138	
    4.0000	-9.6155E-9	-1.0403E-8	-9.7230E-9	-9.3530E-9	-8.9830E-9	7.319E-10	7.525E-10	-4.667E+6	1.152E+6	   18.6214	   18.5709	    3.4823	  -25.8188	
    3.7500	-1.0939E-8	-1.1807E-8	-1.1097E-8	-1.0631E-8	-1.0221E-8	7.297E-10	7.309E-10	6.870E+7	2.844E+6	   18.6239	   18.5673	    3.3229	  -26.3327	
    3.5000	-1.2071E-8	-1.2849E-8	-1.2348E-8	-1.1768E-8	-1.1318E-8	6.776E-10	6.901E-10	6.601E+7	1.402E+6	   18.6223	   18.5738	    3.1869	  -26.7823	
    3.2500	-1.3022E-8	-1.3636E-8	-1.3212E-8	-1.3033E-8	-1.2206E-8	5.379E-10	5.444E-10	-1.354E+7	7.633E+6	   18.6215	   18.5681	    3.1132	  -27.0396	
    3.0000	-1.3590E-8	-1.4642E-8	-1.3849E-8	-1.3327E-8	-1.2544E-8	3.125E-10	3.074E-10	2.096E+7	2.814E+6	   18.6182	   18.5712	    3.0051	  -27.4192	
    2.7500	-1.3880E-8	-1.4918E-8	-1.4065E-8	-1.3601E-8	-1.2937E-8	2.058E-10	2.008E-10	2.933E+7	4.420E+6	   18.6198	   18.5587	    2.9083	  -27.7798	
    2.5000	-1.3972E-8	-1.4973E-8	-1.4322E-8	-1.3680E-8	-1.2911E-8	2.072E-10	1.989E-10	6.210E+7	1.565E+6	   18.6180	   18.5483	    2.8691	  -27.9325	
    2.2500	-1.4096E-8	-1.5192E-8	-1.4391E-8	-1.3656E-8	-1.3146E-8	2.164E-10	2.077E-10	5.478E+7	1.909E+6	   18.6169	   18.5574	    2.7818	  -28.2573	
    2.0000	-1.4292E-8	-1.5232E-8	-1.4861E-8	-1.3825E-8	-1.3249E-8	2.182E-10	2.153E-10	7.281E+7	1.970E+6	   18.6161	   18.5602	    2.7277	  -28.4651	
    1.7500	-1.4501E-8	-1.5271E-8	-1.4964E-8	-1.4035E-8	-1.3734E-8	2.190E-10	2.161E-10	8.255E+7	2.859E+6	   18.6158	   18.5536	    2.6682	  -28.7044	
    1.5000	-1.4732E-8	-1.5526E-8	-1.5175E-8	-1.4603E-8	-1.3624E-8	2.196E-10	2.158E-10	9.030E+7	3.470E+6	   18.6118	   18.5574	    2.6189	  -28.9004	
    1.2500	-1.4773E-8	-1.5689E-8	-1.5268E-8	-1.5000E-8	-1.3135E-8	2.165E-10	2.193E-10	-7.918E+7	3.520E+6	   18.6116	   18.5609	    2.5715	  -29.0922	
    1.0000	-1.3826E-8	-1.4927E-8	-1.4091E-8	-1.3457E-8	-1.2831E-8	2.204E-10	2.214E-10	1.026E+8	4.724E+6	   18.6097	   18.5575	    2.5145	  -29.3316	
    0.7500	-1.3988E-8	-1.5032E-8	-1.4299E-8	-1.3612E-8	-1.3009E-8	2.206E-10	2.169E-10	9.955E+7	5.875E+6	   18.6109	   18.5614	    2.4775	  -29.4859	
    0.5000	-1.4581E-8	-1.5565E-8	-1.4800E-8	-1.4483E-8	-1.3476E-8	2.197E-10	2.199E-10	6.456E+7	4.481E+6	   18.6106	   18.5595	    2.4273	  -29.7036	
    0.2500	-1.4678E-8	-1.5562E-8	-1.5177E-8	-1.4163E-8	-1.3809E-8	2.209E-10	2.211E-10	1.025E+8	3.819E+6	   18.6070	   18.5545	    2.3931	  -29.8562	
    0.0000	-1.4634E-8	-1.5711E-8	-1.4957E-8	-1.4258E-8	-1.3610E-8	2.210E-10	2.220E-10	1.016E+8	3.591E+6	   18.6084	   18.5487	    2.3665	  -29.9775	
   -1.0000	-3.2160E-8	-3.4442E-8	-3.2261E-8	-3.1772E-8	-3.0165E-8	2.072E-10	2.184E-10	-2.957E+7	1.747E+7	   18.6063	   18.5604	    2.3257	  -30.1526	
   -2.0000	-4.9964E-8	-5.4523E-8	-5.1528E-8	-4.7826E-8	-4.5978E-8	1.948E-10	2.196E-10	3.407E+8	6.854E+6	   18.6068	   18.5563	    2.3071	  -30.2398	
   -3.0000	-6.4919E-8	-7.3410E-8	-6.5550E-8	-6.2660E-8	-5.8057E-8	2.088E-10	2.212E-10	2.382E+8	7.325E+6	   18.6049	   18.5510	    2.2973	  -30.2880	
   -4.0000	-7.0785E-8	-8.1700E-8	-7.2610E-8	-6.5850E-8	-6.2982E-8	2.083E-10	2.213E-10	2.314E+8	7.758E+6	   18.6044	   18.5569	    2.2729	  -30.3958	
   -5.0000	-7.2543E-8	-8.5590E-8	-7.4480E-8	-6.7760E-8	-6.2340E-8	2.129E-10	2.214E-10	2.224E+8	8.043E+6	   18.6024	   18.5419	    2.2435	  -30.5420	
   -6.0000	-7.2243E-8	-8.4500E-8	-7.4190E-8	-6.8490E-8	-6.1790E-8	2.159E-10	2.215E-10	1.858E+8	8.332E+6	   18.6047	   18.5444	    2.2220	  -30.6411	
   -7.0000	-7.3021E-8	-8.4910E-8	-7.4510E-8	-6.8110E-8	-6.4555E-8	2.110E-10	2.215E-10	2.402E+8	8.535E+6	   18.6016	   18.5418	    2.2052	  -30.7219	
   -8.0000	-7.2360E-8	-8.4450E-8	-7.4810E-8	-6.8310E-8	-6.1870E-8	2.196E-10	2.216E-10	1.349E+8	8.755E+6	   18.6028	   18.5327	    2.1796	  -30.8498	
   -9.0000	-7.1915E-8	-8.4270E-8	-7.4050E-8	-6.7980E-8	-6.1360E-8	2.131E-10	2.216E-10	2.095E+8	8.901E+6	   18.6007	   18.5362	    2.1581	  -30.9509	
  -10.0000	-7.3060E-8	-8.5630E-8	-7.5210E-8	-6.8750E-8	-6.2650E-8	2.130E-10	2.216E-10	2.241E+8	9.058E+6	   18.5966	   18.5480	    2.1410	  -31.0260	
   -9.0000	-1.2141E-8	-1.3894E-8	-1.2728E-8	-1.0000E-8	-1.1941E-8	2.178E-10	2.222E-10	1.221E+7	6.690E+6	   18.6000	   18.5442	    2.1467	  -31.0008	
   -8.0000	3.1860E-11	8.6680E-11	2.2460E-10	-1.4450E-10	-3.9340E-11	2.171E-10	2.225E-10	-2.341E+7	5.233E+6	   18.5969	   18.5460	    2.1104	  -31.1775	
   -7.0000	 3.1520E-9	 5.0000E-9	 2.5570E-9	 2.5551E-9	 2.4960E-9	2.241E-10	2.216E-10	-1.411E+7	8.553E+6	   18.5975	   18.5384	    2.0851	  -31.3077	
   -6.0000	 6.0200E-9	 6.1610E-9	 5.3180E-9	 6.6650E-9	 5.9360E-9	2.218E-10	2.214E-10	1.111E+8	8.136E+6	   18.5978	   18.5378	    2.0794	  -31.3365	
   -5.0000	 1.2580E-8	 1.2828E-8	 1.2574E-8	 1.2769E-8	 1.2148E-8	2.218E-10	2.259E-10	1.117E+8	1.016E+7	   18.5942	   18.5347	    2.0427	  -31.5232	
   -4.0000	 2.0114E-8	 2.1305E-8	 2.0295E-8	 1.9506E-8	 1.9351E-8	2.217E-10	2.214E-10	1.109E+8	7.735E+6	   18.5962	   18.5322	    2.0231	  -31.6247	
   -3.0000	 2.9947E-8	 3.1613E-8	 3.1025E-8	 2.9177E-8	 2.7974E-8	2.240E-10	2.214E-10	5.887E+7	7.309E+6	   18.5941	   18.5422	    2.0161	  -31.6539	
   -2.0000	 4.0056E-8	 4.2814E-8	 4.0748E-8	 3.9048E-8	 3.7613E-8	2.215E-10	2.213E-10	1.074E+8	6.818E+6	   18.5908	   18.5244	    2.0076	  -31.7093	
   -1.0000	 5.1702E-8	 5.5474E-8	 5.2994E-8	 5.0106E-8	 4.8233E-8	2.213E-10	2.210E-10	1.092E+8	6.168E+6	   18.5917	   18.5348	    1.9940	  -31.7729	
    0.0000	 6.2612E-8	 6.9360E-8	 6.3980E-8	 6.0549E-8	 5.6559E-8	2.210E-10	2.206E-10	9.999E+7	5.253E+6	   18.5921	   18.5350	    1.9839	  -31.8253	
    0.2500	 4.7028E-8	 5.1165E-8	 4.7567E-8	 4.5657E-8	 4.3723E-8	2.210E-10	2.205E-10	1.039E+8	4.980E+6	   18.5878	   18.5275	    1.9858	  -31.8203	
    0.5000	 3.9049E-8	 4.2027E-8	 3.9362E-8	 3.8239E-8	 3.6567E-8	2.125E-10	2.203E-10	3.609E+7	4.668E+6	   18.5897	   18.5275	    1.9826	  -31.8368	
    0.7500	 3.3936E-8	 3.6238E-8	 3.4453E-8	 3.3007E-8	 3.2045E-8	2.206E-10	2.201E-10	9.928E+7	4.325E+6	   18.5893	   18.5388	    1.9687	  -31.9022	
    1.0000	 3.0291E-8	 3.2057E-8	 3.0376E-8	 2.9750E-8	 2.8980E-8	2.203E-10	2.243E-10	9.586E+7	3.223E+6	   18.5873	   18.5257	    1.9583	  -31.9406	
    1.2500	 2.8131E-8	 2.9866E-8	 2.8344E-8	 2.7522E-8	 2.6794E-8	2.196E-10	2.193E-10	9.873E+7	3.523E+6	   18.5868	   18.5424	    1.9643	  -31.9232	
    1.5000	 2.6753E-8	 2.8581E-8	 2.7247E-8	 2.5875E-8	 2.5307E-8	2.196E-10	2.181E-10	8.935E+7	3.061E+6	   18.5870	   18.5306	    1.9434	  -32.0410	
    1.7500	 2.4907E-8	 2.6778E-8	 2.5486E-8	 2.4124E-8	 2.3241E-8	2.190E-10	2.174E-10	8.329E+7	2.518E+6	   18.5857	   18.5252	    1.9503	  -32.0076	
    2.0000	 2.3370E-8	 2.3863E-8	 2.4104E-8	 2.2672E-8	 2.2842E-8	2.180E-10	2.151E-10	7.420E+7	1.981E+6	   18.5854	   18.5180	    1.9447	  -32.0424	
    2.2500	 2.2367E-8	 2.3322E-8	 2.2323E-8	 2.2247E-8	 2.1577E-8	2.163E-10	2.096E-10	5.438E+7	1.555E+6	   18.5864	   18.5289	    1.9235	  -32.1483	
    2.5000	 2.1729E-8	 2.3061E-8	 2.1824E-8	 2.1460E-8	 2.0571E-8	2.111E-10	1.988E-10	2.257E+7	1.564E+6	   18.5837	   18.5310	    1.9083	  -32.2285	
